6,Population ('000) (2)   ,All Causes   ,"Communicable, maternal, perinatal and nutritional conditions   ",A. Infectious and parasitic diseases  , 1. Tuberculosis , 2. STDs excluding HIV ,  a. Syphilis,  b. Chlamydia,  c. Gonorrhoea,  d. Trichomoniasis,  e. Genital herpes,  f. Other STDs, 3. HIV/AIDS , 4. Diarrhoeal diseases , 5. Childhood-cluster diseases ,  a. Whooping cough,  b. Diphtheria,  c. Measles,  d. Tetanus, 6. Meningitis , 7. Encephalitis , 8. Hepatitis ,  a. Acute hepatitis A,  b. Acute hepatitis B,  c. Acute hepatitis C,  d. Acute hepatitis E, 9. Parasitic and vector diseases ,  a. Malaria,  b. African Trypanosomiasis,  c. Chagas disease,  d. Schistosomiasis,  e. Leishmaniasis,  f. lymphatic filariasis,  g. Onchocerciasis,  h. Cysticercosis,  i. Echinococcosis,  j. Dengue,  k. Trachoma,  l. Yellow fever,  m. Rabies, 10. Intestinal nematode infections ,  a. Ascariasis,  b. Trichuriasis,  c. Hookworm disease,  d. Food-bourne trematodes, 11. Leprosy , 12. Other infectious diseases ,B. Respiratory Infectious   , 1. Lower respiratory infections , 2. Upper respiratory infections , 3. Otitis media ,C. Maternal conditions  ,D. Neonatal conditions  , 1. Preterm birth complications , 2. Birth asphyxia and birth trauma , 3. Neonatal sepsis and infections , 4. Other neonatal conditions ,E. Nutritional deficiencies  , 1. Protein-energy malnutrition , 2. Iodine deficiency , 3. Vitamin A deficiency , 4. Iron-deficiency anaemia , 5. Other nutritional deficiencies ,Noncommunicable diseases   ,A. Malignant neoplasms  , 1. Mouth and oropharynx cancers ,  a. Lip and oral cavity,  b. Nasopharynx,  c. Other pharynx, 2. Oesophagus cancer , 3. Stomach cancer , 4. Colon and rectum cancers , 5. Liver cancer ,  a. Liver cancer secondary to hepatitis B,  b. Liver cancer secondary to hepatitis C,  c. Liver cancer secondary to alcohol use,  d. Other liver cancer, 6. Pancreas cancer ," 7. Trachea, bronchus, lung cancers ", 8. Melanoma and other skin cancers ,  a. Malignant skin melanoma,  b. Non-melanoma skin cancer, 9. Breast cancer , 10. Cervix uteri cancer , 11. Corpus uteri cancer , 12. Ovary cancer , 13. Prostate cancer , 14. Testicular cancer , 15. Kidney cancer , 16. Bladder cancer , 17. Brain and nervous system cancers , 18. Gallbladder and biliary tract cancer , 19. Larynx cancer , 20. Thyroid cancer , 21. Mesothelioma ," 22. Lymphomas, multiple myeloma ",  a. Hodgkin lymphoma,  b. Non-Hodgkin lymphoma,  c. Multiple myeloma, 23. Leukaemia , 24. Other malignant neoplasms ,B. Other neoplasms  ,C. Diabetes mellitus  ,"D. Endocrine, blood, immune disorders  ", 1. Thalassaemias , 2. Sickle cell disorders and trait , 3. Other haemoglobinopathies and haemolytic anaemias ," 4. Other endocrine, blood and immune disorders ",E. Mental and substance use disorders  , 1. Depressive disorders ,  a. Major depressive disorder,  b. Dysthymia, 2. Bipolar disorder , 3. Schizophrenia , 4. Alcohol use disorders , 5. Drug use disorders ,  a. Opioid use disorders,  b. Cocaine use disorders,  c. Amphetamine use disorders,  d. Cannabis use disorders,  e. Other drug use disorders, 6. Anxiety disorders , 7. Eating disorders , 8. Autism and Asperger syndrome , 9. Childhood behavioural disorders ,  a. Attention deficit/hyperactivity syndrome,  b. Conduct disorder, 10. Idiopathic intellectual disability , 11. Other mental and behavioural disorders ,F. Neurological conditions  , 1. Alzheimer disease and other dementias , 2. Parkinson disease , 3. Epilepsy , 4. Multiple sclerosis , 5. Migraine , 6. Non-migraine headache , 7. Other neurological conditions ,G. Sense organ diseases  ,H. Cardiovascular diseases  , 1. Rheumatic heart disease , 2. Hypertensive heart disease , 3. Ischaemic heart disease , 4. Stroke ,  a. Ischaemic stroke,  b. Haemorrhagic stroke," 5. Cardiomyopathy, myocarditis, endocarditis ", 6. Other circulatory diseases ,I. Respiratory diseases  , 1. Chronic obstructive pulmonary disease , 2. Asthma , 3. Other respiratory diseases ,J. Digestive diseases  , 1. Peptic ulcer disease , 2. Cirrhosis of the liver ,  a. Cirrhosis due to hepatitis B,  b. Cirrhosis due to hepatitis C,  c. Cirrhosis due to alcohol use,  d. Other liver cirrhosis, 3. Appendicitis , 4. Gastritis and duodenitis , 5. Paralytic ileus and intestinal obstruction , 6. Inflammatory bowel disease , 7. Gallbladder and biliary diseases , 8. Pancreatitis , 9. Other digestive diseases ,K. Genitourinary diseases  , 1. Kidney diseases ,  a. Acute glomerulonephritis,  b. Chronic kidney disease due to diabetes,  c. Other chronic kidney disease, 2. Benign prostatic hyperplasia , 3. Urolithiasis , 4. Other urinary diseases , 5. Infertility , 6. Gynecological diseases ,L. Skin diseases  ,M. Musculoskeletal diseases  , 1. Rheumatoid arthritis , 2. Osteoarthritis , 3. Gout , 4. Back and neck pain , 5. Other musculoskeletal disorders ,N. Congenital anomalies  , 1. Neural tube defects , 2. Cleft lip and cleft palate , 3. Down syndrome , 4. Congenital heart anomalies , 5. Other chromosomal anomalies , 6. Other congenital anomalies ,O. Oral conditions  ,P. Sudden infant death syndrome  ,Injuries   ,A. Unintentional injuries  , 1. Road injury , 2. Poisonings , 3. Falls ," 4. Fire, heat and hot substances ", 5. Drowning , 6. Exposure to mechanical forces , 7. Natural disasters , 8. Other unintentional injuries ,B. Intentional injuries  , 1. Self-harm , 2. Interpersonal violence , 3. Collective violence and legal intervention 
Afghanistan,34656,1254.805,249.939,118.898,77.66037,3.781371,3.723132,0.0113843,0.031293,.,.,0.0155609,1.59864,15.30834,3.991744,0.3981348,0.0431968,1.311032,2.239381,8.340442,0.5422376,1.314202,0.0371567,1.074103,0.0208615,0.1820806,2.589433,0.782835,.,.,.,0.0178158,.,.,0.1019043,0.027465,0.0010219,.,.,1.658391,0.0935599,0.0935599,.,.,.,0.024148,3.65351,50.86303,50.60722,0.1056104,0.150198,11.48329,66.26093,25.90683,20.91724,13.76294,5.673914,2.433794,1.903318,0.0537556,.,0.0196382,0.4570819,851.5907,119.101,8.482923,6.009372,0.4000655,2.073485,10.51107,14.65234,5.134043,6.163618,3.083808,1.510073,0.9226125,0.6471244,1.531693,7.56993,1.559709,0.6580078,0.9017013,11.75908,3.710354,2.304968,2.011859,2.415924,0.4654469,1.727705,3.008392,4.293921,0.9123246,2.061208,0.8073991,0.0775729,7.20531,1.544071,5.168245,0.4929941,3.396334,17.33787,6.578831,62.74077,6.046352,0.0829366,1.931832,1.352338,2.679245,1.311919,.,.,.,.,.,0.4926562,0.8172455,0.6080895,0.0375118,0.0190782,.,0.152566,.,0.0020176,.,.,.,.,.,.,39.62636,34.44966,2.012776,2.515216,0.1853339,.,.,0.4633804,.,460.2379,5.445902,10.2686,287.9364,137.6934,73.66149,64.03195,3.190939,15.70255,58.93024,41.04922,15.66268,2.218339,39.37009,10.10322,17.91103,7.78968,4.15498,1.349189,4.617176,1.5165,0.1227718,2.248813,0.2698452,2.115861,1.001894,4.080163,43.55364,41.781,0.0260356,16.39522,25.35975,.,0.0222539,1.696893,.,0.0534911,1.298329,0.7196805,0.2178799,.,.,.,0.5018006,11.3715,1.567118,0.0120376,0.2385613,4.731888,0.0915375,4.730356,.,0.7041369,153.2756,52.90181,17.67926,1.169949,10.7648,1.577634,6.939855,5.973253,.,8.797062,100.3738,6.420975,8.372897,85.57992
Albania,2926,609.1701,24.23954,4.420543,0.2015875,0.022059,0.0124201,0.0018537,0.0053908,.,.,0.0023945,0.6744901,0.3793247,0.1157357,0.0021638,0.0011658,0.0018533,0.1105528,0.8227725,0.8982542,0.0802814,0.0071979,0.0581371,0.0025727,0.0123737,0.2508528,.,.,.,.,0.2508528,.,.,.,.,.,.,.,.,0.0009095,0.0009095,.,.,.,.,0.9742759,11.23927,11.22524,0.0123274,0.0017071,0.294754,8.069961,4.697726,1.58857,0.626606,1.157058,0.2150031,0.1662647,0.0072947,.,0.0105837,0.03086,552.2083,120.9687,3.02927,1.559073,0.4325015,1.037696,1.412706,17.22702,4.719555,6.308156,1.914196,2.636418,1.135986,0.621555,5.259721,25.99856,1.639418,0.6438946,0.9955233,8.320044,0.895838,1.136027,0.7987122,4.349316,0.2146856,2.926409,4.099291,7.677509,0.4445533,2.077769,0.3408986,0.9663009,1.482571,0.5034528,0.640233,0.3388849,3.930397,15.71402,7.04573,3.738439,3.046036,0.129262,0.1175962,0.7630604,2.036117,1.271951,.,.,.,.,.,0.494444,0.7683071,0.6105061,0.0161904,0.0106839,.,0.1309267,.,0.0091995,.,.,.,.,.,.,32.92394,24.47919,3.740987,1.720739,0.9689338,.,.,2.014097,.,330.8481,1.6654,4.307953,164.9929,120.2826,18.31485,101.9678,14.28808,25.31111,19.38724,13.53873,3.383517,2.464985,12.99692,0.8338854,8.099864,1.720624,1.822828,2.890429,1.665984,0.1109863,0.0418761,0.8298201,0.366589,0.4020898,0.7638802,1.547929,11.29691,10.32741,0.0140311,2.014932,8.29845,.,0.0226067,0.8523834,.,0.094504,0.1794211,0.4514421,0.1955205,.,.,.,0.2559216,7.389565,0.3782365,0.0023576,0.1499595,5.271351,0.1865017,1.401158,.,0.663905,32.7223,23.16311,12.77298,0.4136951,2.021772,0.5496687,1.297532,2.40725,.,3.700215,9.559184,5.594812,3.964372,.
Algeria,40606,558.7889,65.81084,17.60994,9.407239,0.212121,0.1969985,0.0028891,0.0083387,.,.,0.0038948,0.3867206,3.549681,0.2204644,0.0042177,0.0019916,0.1246928,0.0895623,0.9469928,0.3510076,0.8073494,0.0336023,0.6264773,0.0196856,0.1275842,0.4697815,.,.,.,0.2721083,0.0212854,.,.,0.0063826,0.0182571,.,.,.,0.1517481,0.0034836,0.0034836,.,.,.,.,1.255103,23.54681,23.52553,0.0181402,0.0031383,2.232168,21.97849,9.381239,6.449569,4.188016,1.959664,0.4434248,0.3558715,0.0136023,.,0.0179832,0.0559678,446.5905,75.0458,2.725866,0.5810634,1.717985,0.4268169,0.5384802,5.029546,7.314097,1.508504,0.3220044,0.8112089,0.208789,0.1665015,1.774148,8.66071,0.5099489,0.2148722,0.2950767,9.257859,1.703164,0.206324,1.945415,2.35385,0.1152366,1.053192,2.655019,3.474316,2.653079,0.8855009,1.65995,0.2228742,5.540772,0.9538903,3.000891,1.585991,3.739125,9.518824,2.048125,26.78516,4.224075,0.1240667,0.1917418,0.5874313,3.320836,1.348697,.,.,.,.,.,0.2570636,1.08889,0.8790372,0.0286219,0.017386,.,0.1638448,.,0.0027431,.,.,.,.,.,.,42.56219,37.56895,3.025904,1.113125,0.1506701,.,.,0.7035388,.,220.2937,1.121334,6.942962,141.6936,51.28723,30.3712,20.91602,4.41198,14.83657,18.92353,12.92719,3.384779,2.611556,18.98019,1.569438,11.4634,2.283327,5.596677,0.8858501,2.697542,0.4315716,0.0514837,1.821254,0.209199,1.076597,0.6762031,1.68105,24.80571,22.93082,0.014009,8.850963,14.06585,.,0.0278197,1.83663,.,0.0104393,1.877299,0.5828556,0.0850052,.,.,.,0.4978504,8.612329,0.1815925,0.0033365,0.5360294,3.401837,0.4184168,4.071116,.,0.5008521,46.38751,38.63122,25.10517,0.7357919,3.670434,1.791234,1.728315,1.545496,.,4.054779,7.756288,3.316043,4.129121,0.3111239
Angola,28813,1181.017,555.1508,362.8709,129.4151,5.439981,5.20334,0.0460239,0.1291187,.,.,0.0614987,54.12412,91.29384,2.156026,0.105716,0.0131746,0.8759503,1.161186,12.19418,0.5855556,2.883711,0.0419899,2.335895,0.087492,0.4183345,55.66708,41.5069,0.1290595,.,3.874069,.,.,.,1.85522,0.0116907,0.0101499,.,7.037661,1.24233,0.1494297,0.1494297,.,.,.,0.548025,8.413856,93.27596,93.16024,0.0598894,0.0558323,14.58205,53.0598,19.89974,20.99138,9.700289,2.468391,31.36207,25.65373,0.2226501,.,0.0977123,5.387979,539.8892,73.52623,3.151234,1.959825,0.4791635,0.7122454,4.820964,3.234644,3.698624,4.570345,0.98561,1.565815,1.722494,0.2964252,1.065967,1.869143,1.632135,1.12329,0.5088458,5.567167,9.360526,0.639723,1.419965,10.90846,0.0975109,0.7248288,1.536888,0.5962272,0.1862625,0.693367,0.5750207,0.069172,3.570167,0.3637808,2.362672,0.8437151,1.543676,11.9942,3.304972,25.22691,5.696653,0.0022283,2.480188,1.634816,1.579421,2.856379,.,.,.,.,.,1.763476,1.088077,0.9261836,0.0318422,0.0164807,.,0.1135702,.,0.0048258,.,.,.,.,.,.,37.77278,32.91591,1.501607,2.626275,0.0707296,.,.,0.6582651,.,253.7616,3.915881,22.71092,109.3264,85.65844,36.48872,49.16972,6.722841,25.42708,36.3642,27.01146,8.079791,1.272952,67.55685,8.567974,32.52128,7.336318,12.63975,8.213287,4.33193,1.732387,2.085509,10.40082,1.421706,2.893174,1.434796,6.499195,14.25051,10.0151,0.0312025,2.945557,7.038341,.,0.0438445,4.017294,.,0.1742709,5.282624,0.9577177,0.3251311,.,.,.,0.6325866,12.38929,1.920335,0.0966579,0.1808092,4.110676,0.3915158,5.689294,.,0.9425015,85.97737,66.36731,24.75586,2.57559,11.55503,5.454858,7.845856,3.904292,.,10.27582,19.61006,8.877018,10.69314,0.039903
Antigua and Barbuda,101,667.1831,78.23227,30.31673,0.0275204,0.0056367,0.0056367,.,.,.,.,.,7.937669,1.465209,7.41e-05,.,7.41e-05,.,.,0.6557422,4.526593,0.7431127,0.0383663,0.000137,.,0.7046095,0.0052236,.,.,.,.,.,.,.,.,.,0.0052236,.,.,.,0.0001539,0.0001539,.,.,.,.,14.9498,33.38499,33.09732,0.0002112,0.2874533,3.130569,4.348649,2.583888,0.8702841,0.5358518,0.3586245,7.05133,2.868032,0.0003182,.,4.182003,0.0009771,548.4145,139.4209,1.823883,0.5312446,0.3745327,0.918106,1.24952,8.558269,17.80987,6.422269,2.690998,1.603276,1.238257,0.8897372,4.37067,4.309882,1.230351,0.6780545,0.5522965,17.86838,7.190958,2.179484,2.887001,35.16789,.,2.382518,2.578759,2.477909,1.493448,0.9868546,0.7314219,.,8.683249,0.0046052,2.636918,6.041725,4.508009,4.510356,3.104357,56.55864,19.73506,0.0703923,2.587451,3.272622,13.8046,7.483549,.,.,.,.,1.317423,4.982007,1.173791,0.7133508,0.1073303,0.0515934,.,0.3015168,.,0.0103271,.,.,.,.,.,.,13.18354,5.219761,0.7726254,3.08133,0.3734048,.,.,3.736418,.,217.1358,0.0129391,29.4991,95.61008,55.01447,23.36112,31.65335,3.538706,33.46052,29.08289,14.26022,4.017333,10.80534,19.46599,0.2080098,6.090499,1.877461,0.8655041,2.27774,1.069794,0.1746054,0.3752138,3.274919,0.0408426,0.4073586,0.5855489,8.308991,21.66134,13.52309,0.0029885,3.1631,10.357,0.9876512,0.1798949,6.842487,.,0.128215,8.040045,5.526668,0.4483947,.,.,.,5.078273,7.919487,0.1537093,0.0441778,0.1175262,4.983661,0.297679,2.322733,.,0.0961607,40.5363,38.28508,4.705999,0.3979628,0.0090488,0.7221651,1.906898,13.87076,.,16.67225,2.251221,0.470091,1.78113,.
Argentina,43847,555.3664,85.20833,24.7476,1.318899,0.3197641,0.2880655,0.0058938,0.0178391,.,.,0.0079658,3.729773,0.8002186,0.0589784,0.0477715,0.0001727,.,0.0110342,0.7497763,4.917367,0.8292251,0.2644546,0.1096338,.,0.4551366,2.618541,.,.,0.9073462,.,0.0050017,.,.,.,0.9752569,5.12e-06,.,0.7306922,0.0002383,0.0003672,0.0003672,.,.,.,.,9.404693,48.7398,48.7246,0.0145274,0.0006738,0.9929408,8.174289,5.430943,0.8668397,1.048851,0.8276545,2.553694,1.520893,0.0013868,0.00065,0.9130174,0.1177468,424.7806,119.7674,2.0156,1.337035,0.1039998,0.5745659,3.829719,6.429029,15.45868,3.693885,0.7675207,0.9922204,1.723184,0.2109598,7.777388,18.93254,1.862875,1.172439,0.690436,12.76451,4.565667,1.776481,2.428669,7.148726,0.5376035,4.194105,2.774204,3.060955,2.697949,1.810901,0.4496276,0.4027396,5.045642,0.4451734,3.187423,1.413046,4.18132,5.928608,5.439878,16.05758,5.684329,0.0678597,0.0919455,2.321129,3.203395,3.204698,.,.,.,0.004854,0.0756557,1.502635,1.548109,1.060785,0.0774685,0.0435456,.,0.3663098,.,0.0448207,.,.,.,.,0.0286237,.,11.08313,4.989837,1.265577,0.7137294,0.2257783,.,.,3.888205,0.0040295,143.4933,0.2838654,5.576545,74.24971,33.5955,16.10722,17.48828,6.453157,23.33453,53.09395,32.10647,1.235132,19.75234,31.15525,0.751818,8.035345,2.183003,2.059723,2.898069,0.8945505,0.1538739,0.1368506,2.631539,0.1029291,1.287119,1.637883,16.41789,22.77252,17.04545,0.009179,5.323059,11.71321,0.078356,0.0307942,5.595197,.,0.0227199,3.384114,2.24103,0.485948,0.1189754,0.0076771,0.0318049,1.596625,6.82114,0.3787184,0.0014235,0.3523293,2.844491,0.5575058,2.686672,0.024698,0.5535355,45.37747,29.99858,13.41422,0.567593,0.6920819,0.792185,1.050937,0.4698719,.,13.0117,15.37889,9.073427,6.305461,.
Armenia,2925,671.4136,26.46046,7.753088,1.773322,0.0450157,0.0136847,0.0059138,0.0179531,.,.,0.0074642,3.871426,0.4362725,0.1375493,0.0007575,0.0011945,0.1342163,0.001381,0.3266825,0.4760238,0.1625514,0.0219927,0.1173906,0.0049414,0.0182266,0.138311,.,.,.,.,0.1200727,.,.,.,0.0182383,.,.,.,.,0.000867,0.000867,.,.,.,.,0.3850666,8.78587,8.772524,0.0126351,0.0007113,0.2460397,9.584589,5.552228,1.930473,0.8784403,1.223448,0.090878,0.0279647,0.0053515,.,0.0193665,0.0381953,611.647,197.9277,2.531468,1.144573,0.4749849,0.9119097,1.421289,13.15376,12.46576,10.92404,4.976879,3.356205,1.682247,0.9087108,10.33553,33.23678,2.709093,2.021042,0.688051,14.20697,4.37715,1.762068,3.236197,5.908676,0.1986803,4.830842,5.64816,6.324724,2.705684,2.636988,1.594707,0.1840612,2.848388,0.5623695,1.71043,0.5755878,4.78528,49.90145,2.419827,27.44954,0.7996437,0.0166152,0.0292748,0.132155,0.6215986,2.128708,.,.,.,.,.,1.031396,1.096688,0.9965241,0.0116221,0.0097347,.,0.0788069,.,0.0006239,.,.,.,.,.,.,24.26671,20.34048,2.799794,0.4037824,0.1638387,.,.,0.5588109,.,271.9321,2.72862,10.4981,194.6818,48.52972,29.13338,19.39634,2.207916,13.28593,25.05241,21.95777,0.4195234,2.675116,33.15842,4.049162,21.04228,7.320321,4.448483,5.922452,3.351023,0.194312,0.2094907,1.223122,0.2313825,1.756655,0.6495586,3.802454,18.68112,8.147068,0.0184491,3.612887,4.515732,.,1.490842,8.995277,.,0.0479336,0.1231778,0.4184967,0.157753,.,.,.,0.2607437,7.161403,0.5001884,0.0170186,0.1082786,3.115206,0.0410261,3.379685,.,0.1276987,33.30616,25.31948,13.79092,0.5939125,2.258302,1.093343,1.653573,1.14711,.,4.782316,7.986679,5.662945,2.2231,0.1006336
Australia,24126,335.5643,15.56045,5.231528,0.1116047,0.0226852,0.0090707,0.0027496,0.0075147,.,.,0.0033502,0.1899743,0.5550747,0.0120719,0.0098205,0.0006534,0.0011,0.0004981,0.1169125,0.6273455,0.3424395,0.0317941,0.1540359,.,0.1566095,0.005631,.,.,.,.,0.0011875,.,.,.,.,0.0015825,.,.,0.002861,.,.,.,.,.,.,3.247789,6.779725,6.746272,0.0204319,0.0130213,0.0872645,2.95725,1.387697,0.7245196,0.0853408,0.7596925,0.5046789,0.184545,0.0002059,.,0.2795299,0.0403981,292.6176,105.8045,2.34403,1.255665,0.2049383,0.883427,3.347063,3.123082,13.47944,4.34129,1.880699,0.3870254,1.759385,0.3141803,6.252744,20.32115,5.628045,4.213689,1.414356,8.210874,0.9364857,1.052596,2.392626,6.775492,0.0844663,2.585277,2.370674,4.394458,0.6470471,0.5806915,0.3574346,1.683542,6.421922,0.2287229,3.799614,2.393585,4.397434,4.07668,2.661524,9.594726,5.034807,0.0170112,0.0103419,0.3578815,4.649572,6.02437,.,.,.,0.0266515,0.1001422,1.261443,4.546168,3.060362,0.035526,0.3299624,.,1.120317,.,0.0459829,.,.,.,.,0.0439829,.,32.7584,22.96972,3.382607,0.9532184,0.4988557,0.0016108,.,4.952385,0.0193672,81.17298,0.7968241,2.240254,43.69627,18.82818,8.464523,10.36366,3.629897,11.98155,22.93278,17.29305,1.08207,4.557659,13.36743,0.5279706,4.880913,2.414711,0.4983647,1.387857,0.5799811,0.0523695,0.0417304,1.21276,0.1502155,0.8014181,0.5516452,5.148409,6.350208,4.612492,0.008875,2.116574,2.487043,0.09676,0.0710823,1.553954,.,0.0159187,0.9385111,2.521422,0.4195599,0.203786,0.0445835,0.0802584,1.773235,3.043829,0.1134429,0.0013026,0.4403022,0.9727073,0.5147314,1.001343,0.048571,0.344164,27.38623,14.61209,4.623956,0.1635346,4.454432,0.1953787,0.7947046,0.4812496,.,3.898835,12.77414,11.67959,1.089799,0.0047508
Austria,8712,374.2047,11.23189,3.647847,0.3569397,0.0063789,0.0029769,0.0005936,0.002215,.,.,0.0005935,0.2845869,0.5659293,0.0234469,0.0232744,0.0001725,.,.,0.2103581,0.6827769,0.1421873,0.0060896,0.115367,.,0.0207308,0.0491036,.,.,.,.,.,.,.,.,0.0491036,.,.,.,.,.,.,.,.,.,.,1.326139,4.612917,4.563325,0.024848,0.0247443,0.0374777,2.681944,1.064817,0.6630277,0.2181434,0.735955,0.2517039,0.0045489,0.0001848,.,0.1768426,0.0701275,335.1529,111.452,3.993028,1.94092,0.1387583,1.91335,2.420936,4.414301,11.46251,4.510802,0.8645084,1.118139,2.373913,0.1542418,9.128458,23.7207,2.609214,2.097695,0.5115192,9.430458,0.9595158,1.311691,2.912529,5.631699,0.1849013,2.501215,2.776769,4.324035,1.671486,0.9511562,0.4358308,0.558188,5.840704,0.1828517,3.5114,2.146452,4.174606,5.527271,3.253629,14.18114,6.087981,0.013684,0.0308165,0.5568148,5.486665,5.36969,.,.,.,.,0.0241188,2.842848,2.417693,1.564341,0.0077793,0.0187968,.,0.8267755,.,0.0850304,.,.,.,.,.,.,17.7534,9.345451,3.420263,0.9210915,0.927626,.,.,3.138967,0.0116663,127.8546,1.009439,8.827355,75.74214,18.80642,9.867352,8.93907,5.409475,18.05972,17.98457,15.7264,0.3195389,1.93863,17.20974,0.7881628,10.28942,2.275358,2.233497,5.177086,0.6034815,0.0689897,0.0929656,0.7368263,0.3020008,0.7399266,0.6968009,3.494646,8.052635,6.630888,0.0028368,1.527198,5.100854,0.0419177,0.1149225,1.254521,.,0.0103859,0.3118553,1.425909,0.1739169,0.0226175,0.0110272,0.2524268,0.9659203,4.034325,0.0424504,0.0010885,0.8059027,1.072761,0.6918591,1.420263,0.0127673,0.1570111,27.81999,15.93082,4.167377,0.169695,4.03864,0.2457071,0.4224558,0.4467072,0.1009448,6.339289,11.88918,11.40722,0.4653421,0.0166109
Azerbaijan,9725,741.2102,56.22925,15.48226,6.158129,0.0690488,0.0474229,0.0040552,0.0124931,.,.,0.0050776,2.834382,3.303921,0.1344706,0.0153438,0.0032071,3.82e-05,0.1158815,0.6671675,0.5129889,0.4410897,0.0629386,0.302535,0.0133866,0.0622295,0.2118083,.,.,.,.,0.0727335,.,.,.,0.0290009,.,.,.,0.1100739,0.0016682,0.0016682,.,.,.,.,1.147586,15.30232,15.29065,0.0109859,0.0006876,0.4034168,24.70712,12.13778,7.478073,3.853431,1.237827,0.3341335,0.2260925,0.0194295,.,0.0239087,0.0647028,655.4923,110.2637,1.761257,0.7389927,0.2404085,0.7818553,4.800092,12.55966,4.730515,5.798462,2.635803,1.814942,0.8858636,0.4618538,2.45849,12.63636,1.091265,0.4249057,0.6663596,4.896341,2.087251,0.4894538,1.109285,2.695253,0.1085463,1.216649,1.479485,4.057555,0.5855695,1.473628,0.2900683,0.0535999,2.350956,0.7075654,1.367799,0.2755914,3.090116,38.44388,0.252928,17.52433,3.085466,0.7181361,0.1756228,0.7090876,1.482619,6.290544,.,.,.,.,.,4.715869,1.573656,1.054675,0.0882752,0.0483338,.,0.3823719,.,0.0010191,.,.,.,.,.,.,24.79295,19.40383,2.906143,1.81878,0.0778408,.,.,0.5863543,.,406.9711,2.600274,7.41248,293.7612,90.13646,27.89359,62.24287,5.806091,7.254607,24.06515,19.843,1.97118,2.250973,39.25744,1.833491,32.85553,10.60355,7.404252,9.114996,5.732724,0.1284026,0.0110487,0.9988091,0.1099805,0.4604479,0.3857314,2.474008,14.44874,11.41005,0.2113636,4.855483,6.343202,.,0.0859589,2.947843,.,0.0048835,0.0500469,0.13577,0.0364618,.,.,.,0.0993082,7.973482,0.2983855,0.0073341,0.0912977,5.65857,0.0613295,1.856565,.,0.3805431,29.48868,23.44424,10.35335,0.5399753,2.037578,2.859962,2.350391,1.469008,.,3.83397,6.04444,2.567097,2.266041,1.211301
Bahamas,391,569.2004,97.54122,64.74538,0.1927348,0.2596044,0.2156394,0.0085404,0.0247941,.,.,0.0106306,61.52904,0.8863691,0.0066383,0.0003271,0.0008383,0.00038,0.0050929,0.5980584,0.2815513,0.135107,0.0032877,0.0967182,0.0066894,0.0284117,0.1436038,.,.,.,.,.,.,.,.,.,0.1436038,.,.,.,0.0007011,0.0007011,.,.,.,.,0.7119715,22.73692,22.72568,0.0072351,0.0040035,1.035312,7.886109,4.545056,1.776279,0.65583,0.9089444,1.137505,0.8116098,0.0090752,.,0.0066794,0.3101406,418.5178,124.7753,3.207176,1.715127,0.4610933,1.030955,2.672178,7.255394,15.9967,5.841623,1.991584,1.188439,1.695504,0.9660963,3.410497,9.747631,1.952739,0.9863143,0.966425,17.7166,6.195157,2.453312,2.402179,21.19323,0.0219015,1.337819,1.430799,2.237069,1.313261,2.061998,0.4468866,0.2140041,7.597083,0.3263523,3.085902,4.184828,2.651221,5.418867,1.653658,28.00184,7.661959,0.0222852,0.7310584,0.6661102,6.242505,2.512706,.,.,.,.,.,1.884409,0.6222068,0.3158999,0.0193648,0.0148196,.,0.2721225,.,0.0060896,.,.,.,.,.,.,20.12178,16.60889,1.619002,0.8391093,0.1155163,.,.,0.9392629,.,171.9141,1.161569,33.97277,70.86731,42.01428,18.78554,23.22874,7.87835,16.01978,9.625762,6.043969,1.287007,2.294786,19.52979,1.603983,10.04438,2.693186,1.47589,4.239307,1.636,0.3904514,0.3672644,1.718213,0.414917,1.033857,1.023699,2.933023,22.39982,17.30553,0.0147612,6.388086,10.90268,.,0.0535207,5.019772,.,0.0209965,5.222406,1.460484,0.2608933,.,.,.,1.199591,3.372437,0.1207129,0.0007326,0.2331739,1.556627,0.3673475,1.093843,.,0.265815,53.14137,23.74583,9.15387,0.135174,2.264724,1.934038,3.725204,0.6675055,.,5.865315,29.39554,1.587837,27.8077,.
